accuracy,loss,val_accuracy,val_loss,learning_rate
0.6744444370269775,1.0291392803192139,0.8669135570526123,0.4647378623485565,9.999999747378752e-05
0.8099470734596252,0.5782551765441895,0.8886419534683228,0.36338484287261963,9.999999747378752e-05
0.836137592792511,0.4917233884334564,0.8960493803024292,0.32557541131973267,9.999999747378752e-05
0.8481481671333313,0.4533401131629944,0.9002469182014465,0.30180951952934265,9.999999747378752e-05
0.859682559967041,0.4284972548484802,0.9029629826545715,0.29234254360198975,9.999999747378752e-05
0.8643915057182312,0.40436890721321106,0.9061728119850159,0.2802836298942566,9.999999747378752e-05
0.8713756799697876,0.3850369453430176,0.9086419939994812,0.2687176764011383,9.999999747378752e-05
0.8771428465843201,0.37437528371810913,0.9083950519561768,0.27297458052635193,9.999999747378752e-05
0.8773545026779175,0.36780664324760437,0.9088888764381409,0.2633041441440582,9.999999747378752e-05
0.8803703784942627,0.35522010922431946,0.9118518233299255,0.25492116808891296,9.999999747378752e-05
0.8852909803390503,0.3453667461872101,0.9116049408912659,0.24992509186267853,9.999999747378752e-05
0.8833333253860474,0.34502437710762024,0.9138271808624268,0.24951714277267456,9.999999747378752e-05
0.8850793838500977,0.335917204618454,0.9130864143371582,0.24966193735599518,9.999999747378752e-05
0.8875661492347717,0.33125388622283936,0.91209876537323,0.24883995950222015,9.999999747378752e-05
0.8901587128639221,0.3213823437690735,0.9155555367469788,0.2461954951286316,9.999999747378752e-05
0.8931217193603516,0.3137778043746948,0.9158024787902832,0.23910482227802277,9.999999747378752e-05
0.8956084847450256,0.3168049454689026,0.9200000166893005,0.23609940707683563,9.999999747378752e-05
0.893756628036499,0.3140560984611511,0.9200000166893005,0.23895473778247833,9.999999747378752e-05
0.8941270112991333,0.3095433712005615,0.916543185710907,0.24026766419410706,9.999999747378752e-05
0.8921164274215698,0.3098506033420563,0.9175308346748352,0.2376066893339157,9.999999747378752e-05
0.9010581970214844,0.29087042808532715,0.9177777767181396,0.23251712322235107,4.999999873689376e-05
0.8997883796691895,0.29180672764778137,0.9195061922073364,0.2312120944261551,4.999999873689376e-05
0.8966666460037231,0.2989601790904999,0.9200000166893005,0.22809907793998718,4.999999873689376e-05
0.8971957564353943,0.29293251037597656,0.9170370101928711,0.2345862239599228,4.999999873689376e-05
0.9002116322517395,0.2924557328224182,0.9195061922073364,0.23346194624900818,4.999999873689376e-05
0.9059259295463562,0.2823665142059326,0.9182716012001038,0.2289087027311325,4.999999873689376e-05
0.901534378528595,0.2900940775871277,0.9224691390991211,0.22861622273921967,2.499999936844688e-05
0.9019047617912292,0.28936848044395447,0.9212345480918884,0.2291698455810547,2.499999936844688e-05
0.9021164178848267,0.2829962968826294,0.9202468991279602,0.23023946583271027,2.499999936844688e-05
0.9021164178848267,0.287275493144989,0.9209876656532288,0.22788645327091217,1.249999968422344e-05
