accuracy,loss,val_accuracy,val_loss,learning_rate
0.49820107221603394,1.5249134302139282,0.5723456740379333,1.426660180091858,0.0010000000474974513
0.6000528931617737,1.129294753074646,0.6481481194496155,1.184277892112732,0.0010000000474974513
0.6440211534500122,1.0144462585449219,0.5335802435874939,1.3384569883346558,0.0010000000474974513
0.6752910017967224,0.930450439453125,0.6474074125289917,1.0900834798812866,0.0010000000474974513
0.6984655857086182,0.8592799305915833,0.54666668176651,1.7557158470153809,0.0010000000474974513
0.7123809456825256,0.828996479511261,0.7375308871269226,0.7954438328742981,0.0010000000474974513
0.7505820393562317,0.7437400817871094,0.6269136071205139,1.3329856395721436,0.0010000000474974513
0.7669312357902527,0.6832568049430847,0.6772839426994324,1.2811311483383179,0.0010000000474974513
0.7638095021247864,0.7033908367156982,0.763209879398346,0.7642247676849365,0.0010000000474974513
0.7824338674545288,0.6553480625152588,0.6804938316345215,1.0271633863449097,0.0010000000474974513
0.8000528812408447,0.6022471189498901,0.8130863904953003,0.7940708994865417,0.0010000000474974513
0.8100529313087463,0.5769138336181641,0.7753086686134338,0.7904676198959351,0.0010000000474974513
0.8508465886116028,0.46045583486557007,0.858271598815918,0.5253342986106873,0.0005000000237487257
0.8602645397186279,0.43217477202415466,0.8634567856788635,0.48810356855392456,0.0005000000237487257
0.8643915057182312,0.4238777160644531,0.8419753313064575,0.5449156165122986,0.0005000000237487257
0.8755026459693909,0.3926241099834442,0.8540740609169006,0.6395241618156433,0.0005000000237487257
0.880740761756897,0.37797462940216064,0.8686419725418091,0.4362933337688446,0.0005000000237487257
0.8823280334472656,0.36519938707351685,0.8402469158172607,0.6277851462364197,0.0005000000237487257
0.887936532497406,0.3528987467288971,0.801728367805481,0.7680923342704773,0.0005000000237487257
0.8909524083137512,0.3371115028858185,0.8135802745819092,0.7811642289161682,0.0005000000237487257
0.9067195653915405,0.28702476620674133,0.8790123462677002,0.4376707971096039,0.0002500000118743628
0.9110053181648254,0.27741822600364685,0.9027160406112671,0.350633829832077,0.0002500000118743628
0.9128571152687073,0.27663612365722656,0.8881481289863586,0.4112275242805481,0.0002500000118743628
0.915238082408905,0.2593630254268646,0.8787654042243958,0.5037074685096741,0.0002500000118743628
0.9167195558547974,0.2654684782028198,0.8913580179214478,0.4322686195373535,0.0002500000118743628
0.9243386387825012,0.23769047856330872,0.8881481289863586,0.43847984075546265,0.0001250000059371814
0.9244444370269775,0.22831398248672485,0.8962963223457336,0.38230255246162415,0.0001250000059371814
